"HostName","vSwitch_ContainsAll","vSwitch_ExactMatch","vSwitch_Missing","vSwitch_Extra","PortGroups_ContainsAll","PortGroups_ExactMatch","PortGroups_Missing","PortGroups_Extra","VMKernels_ContainsAll","VMKernels_ExactMatch","VMKernels_Missing","VMKernels_Extra","License_Match","ExpectedLicense","BaselineSource"
"hoprodwin2esxi10.rbj.co.yu","False","False","","vSwitch0; vSwitch1; vSwitch2","False","False","","Hoprodwin2esxi10_vmotion1; Hoprodwin2esxi10_vmotion2; Management Network; VLAN100; VLAN102; VLAN103; VLAN108; VLAN109; VLAN110; VLAN111; VLAN112; VLAN113; VLAN114; VLAN115; VLAN116; VLAN117; VLAN119; VLAN120; VLAN121; VLAN125; VLAN126; VLAN127; VLAN129; VLAN130; VLAN132; VLAN1372; VLAN140; VLAN150; VLAN155; VLAN172; VLAN179; VLAN180; VLAN181; VLAN244; VLAN245; VLAN255; VLAN262; VLAN264; VLAN272; VLAN300; VLAN303; VLAN304; VLAN341; VLAN342; VLAN343; VLAN344; VLAN345; VLAN349; VLAN350; VLAN352; VLAN358; VLAN359; VLAN362; VLAN363; VLAN421; VLAN422; VLAN438; VLAN443; VLAN460; VLAN600; VLAN851; VLAN852; VLAN854; VLAN858; VLAN859; VLAN863; VLAN864; VM Network","False","False","","vmk0; vmk1; vmk2","False","2504M-DEJ43-K8064-L8CH2-0RF51","ClusterIntersection"
"hoprodwin2esxi11.rbj.co.yu","False","False","","vSwitch0; vSwitch1; vSwitch2","False","False","","Hoprodwin2esxi11_vmotion1; Hoprodwin2esxi11_vmotion2; Management Network; VLAN100; VLAN102; VLAN103; VLAN108; VLAN109; VLAN110; VLAN111; VLAN112; VLAN113; VLAN114; VLAN115; VLAN116; VLAN117; VLAN119; VLAN120; VLAN121; VLAN125; VLAN126; VLAN127; VLAN129; VLAN130; VLAN132; VLAN1372; VLAN140; VLAN150; VLAN155; VLAN172; VLAN179; VLAN180; VLAN181; VLAN244; VLAN245; VLAN255; VLAN262; VLAN264; VLAN272; VLAN300; VLAN303; VLAN304; VLAN341; VLAN342; VLAN343; VLAN344; VLAN345; VLAN349; VLAN350; VLAN352; VLAN358; VLAN359; VLAN362; VLAN363; VLAN421; VLAN422; VLAN438; VLAN443; VLAN460; VLAN600; VLAN851; VLAN852; VLAN854; VLAN858; VLAN859; VLAN863; VLAN864; VM Network","False","False","","vmk0; vmk1; vmk2","False","2504M-DEJ43-K8064-L8CH2-0RF51","ClusterIntersection"
"hoprodwin2esxi12.rbj.co.yu","False","False","","vSwitch0; vSwitch1; vSwitch2","False","False","","Hoprodwin2esxi12_vmotion1; Hoprodwin2esxi12_vmotion2; Management Network; VLAN100; VLAN102; VLAN103; VLAN108; VLAN109; VLAN110; VLAN111; VLAN112; VLAN113; VLAN114; VLAN115; VLAN116; VLAN117; VLAN119; VLAN120; VLAN121; VLAN125; VLAN126; VLAN127; VLAN129; VLAN130; VLAN132; VLAN1372; VLAN140; VLAN150; VLAN155; VLAN172; VLAN179; VLAN180; VLAN181; VLAN244; VLAN245; VLAN255; VLAN262; VLAN264; VLAN272; VLAN300; VLAN303; VLAN304; VLAN341; VLAN342; VLAN344; VLAN345; VLAN349; VLAN350; VLAN352; VLAN358; VLAN359; VLAN362; VLAN363; VLAN421; VLAN422; VLAN438; VLAN443; VLAN460; VLAN600; VLAN851; VLAN852; VLAN854; VLAN858; VLAN859; VLAN863; VLAN864; VM Network","False","False","","vmk0; vmk1; vmk2","False","2504M-DEJ43-K8064-L8CH2-0RF51","ClusterIntersection"
"hoprodwin2esxi13.rbj.co.yu","False","False","","vSwitch0; vSwitch1; vSwitch2","False","False","","Hoprodwin2esxi13_vmotion1; Hoprodwin2esxi13_vmotion2; Management Network; VLAN100; VLAN102; VLAN103; VLAN108; VLAN109; VLAN110; VLAN111; VLAN112; VLAN113; VLAN114; VLAN115; VLAN116; VLAN117; VLAN119; VLAN120; VLAN121; VLAN125; VLAN126; VLAN127; VLAN129; VLAN130; VLAN132; VLAN1372; VLAN140; VLAN150; VLAN155; VLAN172; VLAN179; VLAN180; VLAN181; VLAN244; VLAN245; VLAN255; VLAN262; VLAN264; VLAN272; VLAN300; VLAN303; VLAN304; VLAN341; VLAN342; VLAN343; VLAN344; VLAN345; VLAN349; VLAN350; VLAN352; VLAN358; VLAN359; VLAN362; VLAN363; VLAN421; VLAN422; VLAN438; VLAN443; VLAN460; VLAN600; VLAN851; VLAN852; VLAN854; VLAN858; VLAN859; VLAN863; VLAN864; VM Network","False","False","","vmk0; vmk1; vmk2","False","2504M-DEJ43-K8064-L8CH2-0RF51","ClusterIntersection"
"hoprodwin2esxi14.rbj.co.yu","False","False","","vSwitch0; vSwitch1; vSwitch2","False","False","","Hoprodwin2esxi14_vmotion1; Hoprodwin2esxi14_vmotion2; Management Network; VLAN100; VLAN102; VLAN103; VLAN108; VLAN109; VLAN110; VLAN111; VLAN112; VLAN113; VLAN114; VLAN115; VLAN116; VLAN117; VLAN119; VLAN120; VLAN121; VLAN125; VLAN126; VLAN127; VLAN129; VLAN130; VLAN132; VLAN1372; VLAN140; VLAN150; VLAN155; VLAN172; VLAN179; VLAN180; VLAN181; VLAN244; VLAN245; VLAN255; VLAN262; VLAN264; VLAN272; VLAN300; VLAN303; VLAN304; VLAN341; VLAN342; VLAN343; VLAN344; VLAN345; VLAN349; VLAN352; VLAN358; VLAN359; VLAN362; VLAN363; VLAN421; VLAN422; VLAN438; VLAN443; VLAN460; VLAN600; VLAN851; VLAN852; VLAN854; VLAN858; VLAN859; VLAN863; VLAN864; VM Network","False","False","","vmk0; vmk1; vmk2","False","2504M-DEJ43-K8064-L8CH2-0RF51","ClusterIntersection"
